src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,1.533
aws,af-south-1,aws,ap-east-1,8.883
aws,af-south-1,aws,ap-northeast-1,14.142
aws,af-south-1,aws,ap-northeast-2,12.787
aws,af-south-1,aws,ap-northeast-3,11.788
aws,af-south-1,aws,ap-south-1,5.913
aws,af-south-1,aws,ap-southeast-2,13.509
aws,af-south-1,aws,ca-central-1,7.525
aws,af-south-1,aws,eu-central-1,17.452
aws,af-south-1,aws,eu-north-1,6.119
aws,af-south-1,aws,eu-south-1,6.361
aws,af-south-1,aws,eu-west-2,15.817
aws,af-south-1,aws,me-central-1,4.906
aws,af-south-1,aws,me-south-1,5.041
aws,af-south-1,aws,sa-east-1,11.299
aws,af-south-1,aws,us-east-1,7.512
aws,af-south-1,aws,us-west-1,9.753
aws,ap-east-1,aws,af-south-1,8.639
aws,ap-east-1,aws,ap-east-1,1.442
aws,ap-east-1,aws,ap-northeast-1,2.453
aws,ap-east-1,aws,ap-northeast-2,1.882
aws,ap-east-1,aws,ap-northeast-3,2.522
aws,ap-east-1,aws,ap-south-1,9.458
aws,ap-east-1,aws,ap-southeast-2,4.745
aws,ap-east-1,aws,ca-central-1,6.397
aws,ap-east-1,aws,eu-central-1,6.683
aws,ap-east-1,aws,eu-north-1,8.723
aws,ap-east-1,aws,eu-south-1,6.603
aws,ap-east-1,aws,eu-west-2,14.114
aws,ap-east-1,aws,me-central-1,4.357
aws,ap-east-1,aws,me-south-1,4.777
aws,ap-east-1,aws,sa-east-1,11.622
aws,ap-east-1,aws,us-east-1,6.719
aws,ap-east-1,aws,us-west-1,17.286
aws,ap-northeast-1,aws,af-south-1,11.918
aws,ap-northeast-1,aws,ap-east-1,2.37
aws,ap-northeast-1,aws,ap-northeast-1,1.419
aws,ap-northeast-1,aws,ap-northeast-2,2.768
aws,ap-northeast-1,aws,ap-northeast-3,1.444
aws,ap-northeast-1,aws,ap-south-1,5.305
aws,ap-northeast-1,aws,ap-southeast-2,4.667
aws,ap-northeast-1,aws,ca-central-1,5.155
aws,ap-northeast-1,aws,eu-central-1,7.533
aws,ap-northeast-1,aws,eu-north-1,25.991
aws,ap-northeast-1,aws,eu-south-1,7.254
aws,ap-northeast-1,aws,eu-west-2,8.558
aws,ap-northeast-1,aws,me-central-1,5.534
aws,ap-northeast-1,aws,me-south-1,5.711
aws,ap-northeast-1,aws,sa-east-1,10.014
