src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,1.027
aws,af-south-1,aws,ap-east-1,5.784
aws,af-south-1,aws,ap-northeast-1,20.904
aws,af-south-1,aws,ap-northeast-2,8.691
aws,af-south-1,aws,ap-northeast-3,8.398
aws,af-south-1,aws,ap-south-1,3.856
aws,af-south-1,aws,ap-southeast-2,10.028
aws,af-south-1,aws,ca-central-1,5.238
aws,af-south-1,aws,eu-central-1,12.929
aws,af-south-1,aws,eu-north-1,4.224
aws,af-south-1,aws,eu-south-1,4.471
aws,af-south-1,aws,eu-west-2,3.721
aws,af-south-1,aws,me-central-1,3.405
aws,af-south-1,aws,me-south-1,3.523
aws,af-south-1,aws,sa-east-1,7.473
aws,af-south-1,aws,us-east-1,5.253
aws,af-south-1,aws,us-west-1,7.208
aws,ap-east-1,aws,af-south-1,5.838
aws,ap-east-1,aws,ap-east-1,0.94
aws,ap-east-1,aws,ap-northeast-1,1.728
aws,ap-east-1,aws,ap-northeast-2,1.372
aws,ap-east-1,aws,ap-northeast-3,1.683
aws,ap-east-1,aws,ap-south-1,2.485
aws,ap-east-1,aws,ap-southeast-2,3.873
aws,ap-east-1,aws,ca-central-1,4.404
aws,ap-east-1,aws,eu-central-1,4.629
aws,ap-east-1,aws,eu-north-1,5.757
aws,ap-east-1,aws,eu-south-1,4.609
aws,ap-east-1,aws,eu-west-2,4.816
aws,ap-east-1,aws,me-central-1,2.971
aws,ap-east-1,aws,me-south-1,3.25
aws,ap-east-1,aws,sa-east-1,7.607
aws,ap-east-1,aws,us-east-1,4.871
aws,ap-east-1,aws,us-west-1,3.848
aws,ap-northeast-1,aws,af-south-1,7.93
aws,ap-northeast-1,aws,ap-east-1,1.729
aws,ap-northeast-1,aws,ap-northeast-1,0.943
aws,ap-northeast-1,aws,ap-northeast-2,1.447
aws,ap-northeast-1,aws,ap-northeast-3,0.965
aws,ap-northeast-1,aws,ap-south-1,3.472
aws,ap-northeast-1,aws,ap-southeast-2,3.12
aws,ap-northeast-1,aws,ca-central-1,3.556
aws,ap-northeast-1,aws,eu-central-1,5.201
aws,ap-northeast-1,aws,eu-north-1,6.165
aws,ap-northeast-1,aws,eu-south-1,5.495
aws,ap-northeast-1,aws,eu-west-2,5.623
aws,ap-northeast-1,aws,me-central-1,3.846
aws,ap-northeast-1,aws,me-south-1,3.91
aws,ap-northeast-1,aws,sa-east-1,6.617
aws,ap-northeast-1,aws,us-east-1,3.584
aws,ap-northeast-1,aws,us-west-1,2.794
aws,ap-northeast-2,aws,af-south-1,8.767
aws,ap-northeast-2,aws,ap-east-1,1.329
aws,ap-northeast-2,aws,ap-northeast-1,1.453
aws,ap-northeast-2,aws,ap-northeast-2,0.93
aws,ap-northeast-2,aws,ap-northeast-3,1.0
aws,ap-northeast-2,aws,ap-south-1,3.296
aws,ap-northeast-2,aws,ap-southeast-2,3.632
aws,ap-northeast-2,aws,ca-central-1,4.16
aws,ap-northeast-2,aws,eu-central-1,6.965
aws,ap-northeast-2,aws,eu-north-1,5.871
aws,ap-northeast-2,aws,eu-south-1,4.969
aws,ap-northeast-2,aws,eu-west-2,5.955
aws,ap-northeast-2,aws,me-central-1,3.664
aws,ap-northeast-2,aws,me-south-1,3.792
aws,ap-northeast-2,aws,sa-east-1,6.535
aws,ap-northeast-2,aws,us-east-1,4.145
aws,ap-northeast-2,aws,us-west-1,3.287
aws,ap-northeast-3,aws,af-south-1,8.111
aws,ap-northeast-3,aws,ap-east-1,1.674
aws,ap-northeast-3,aws,ap-northeast-1,0.978
aws,ap-northeast-3,aws,ap-northeast-2,2.737
aws,ap-northeast-3,aws,ap-northeast-3,0.929
aws,ap-northeast-3,aws,ap-south-1,3.22
aws,ap-northeast-3,aws,ap-southeast-2,3.111
aws,ap-northeast-3,aws,ca-central-1,3.713
aws,ap-northeast-3,aws,eu-central-1,5.383
aws,ap-northeast-3,aws,eu-north-1,5.817
aws,ap-northeast-3,aws,eu-south-1,5.183
aws,ap-northeast-3,aws,eu-west-2,6.358
aws,ap-northeast-3,aws,me-central-1,4.55
aws,ap-northeast-3,aws,me-south-1,3.98
aws,ap-northeast-3,aws,sa-east-1,6.101
aws,ap-northeast-3,aws,us-east-1,3.732
aws,ap-northeast-3,aws,us-west-1,2.865
aws,ap-south-1,aws,af-south-1,3.847
aws,ap-south-1,aws,ap-east-1,2.477
aws,ap-south-1,aws,ap-northeast-1,3.84
aws,ap-south-1,aws,ap-northeast-2,3.102
aws,ap-south-1,aws,ap-northeast-3,3.242
aws,ap-south-1,aws,ap-south-1,1.68
aws,ap-south-1,aws,ap-southeast-2,3.637
aws,ap-south-1,aws,ca-central-1,4.554
aws,ap-south-1,aws,eu-central-1,3.286
aws,ap-south-1,aws,eu-north-1,3.702
aws,ap-south-1,aws,eu-south-1,2.854
aws,ap-south-1,aws,eu-west-2,2.9
aws,ap-south-1,aws,me-central-1,1.177
aws,ap-south-1,aws,me-south-1,1.437
aws,ap-south-1,aws,sa-east-1,6.869
aws,ap-south-1,aws,us-east-1,4.446
aws,ap-south-1,aws,us-west-1,5.866
aws,ap-southeast-2,aws,af-south-1,9.193
aws,ap-southeast-2,aws,ap-east-1,3.244
aws,ap-southeast-2,aws,ap-northeast-1,3.134
aws,ap-southeast-2,aws,ap-northeast-2,3.705
aws,ap-southeast-2,aws,ap-northeast-3,3.641
aws,ap-southeast-2,aws,ap-south-1,3.731
aws,ap-southeast-2,aws,ap-southeast-2,0.939
aws,ap-southeast-2,aws,ca-central-1,4.922
aws,ap-southeast-2,aws,eu-central-1,5.936
aws,ap-southeast-2,aws,eu-north-1,6.703
aws,ap-southeast-2,aws,eu-south-1,5.901
aws,ap-southeast-2,aws,eu-west-2,6.978
aws,ap-southeast-2,aws,me-central-1,4.359
aws,ap-southeast-2,aws,me-south-1,4.332
aws,ap-southeast-2,aws,sa-east-1,7.119
aws,ap-southeast-2,aws,us-east-1,4.759
aws,ap-southeast-2,aws,us-west-1,3.528
aws,ca-central-1,aws,af-south-1,5.173
aws,ca-central-1,aws,ap-east-1,4.386
aws,ca-central-1,aws,ap-northeast-1,3.707
aws,ca-central-1,aws,ap-northeast-2,4.241
aws,ca-central-1,aws,ap-northeast-3,3.683
aws,ca-central-1,aws,ap-south-1,4.443
aws,ca-central-1,aws,ap-southeast-2,4.681
aws,ca-central-1,aws,ca-central-1,0.921
aws,ca-central-1,aws,eu-central-1,2.456
aws,ca-central-1,aws,eu-north-1,2.93
aws,ca-central-1,aws,eu-south-1,3.489
aws,ca-central-1,aws,eu-west-2,2.19
aws,ca-central-1,aws,me-central-1,4.665
aws,ca-central-1,aws,me-south-1,4.214
aws,ca-central-1,aws,sa-east-1,3.142
aws,ca-central-1,aws,us-east-1,1.092
aws,ca-central-1,aws,us-west-1,2.187
aws,eu-central-1,aws,af-south-1,3.893
aws,eu-central-1,aws,ap-east-1,4.59
aws,eu-central-1,aws,ap-northeast-1,5.29
aws,eu-central-1,aws,ap-northeast-2,5.21
aws,eu-central-1,aws,ap-northeast-3,5.361
aws,eu-central-1,aws,ap-south-1,3.271
aws,eu-central-1,aws,ap-southeast-2,6.146
aws,eu-central-1,aws,ca-central-1,2.502
aws,eu-central-1,aws,eu-central-1,0.928
aws,eu-central-1,aws,eu-north-1,1.008
aws,eu-central-1,aws,eu-south-1,0.965
aws,eu-central-1,aws,eu-west-2,0.996
aws,eu-central-1,aws,me-central-1,2.978
aws,eu-central-1,aws,me-south-1,2.299
aws,eu-central-1,aws,sa-east-1,4.836
aws,eu-central-1,aws,us-east-1,2.489
aws,eu-central-1,aws,us-west-1,3.738
aws,eu-north-1,aws,af-south-1,5.104
aws,eu-north-1,aws,ap-east-1,5.035
aws,eu-north-1,aws,ap-northeast-1,17.486
aws,eu-north-1,aws,ap-northeast-2,5.727
aws,eu-north-1,aws,ap-northeast-3,5.812
aws,eu-north-1,aws,ap-south-1,3.717
aws,eu-north-1,aws,ap-southeast-2,7.901
aws,eu-north-1,aws,ca-central-1,2.794
aws,eu-north-1,aws,eu-central-1,1.009
aws,eu-north-1,aws,eu-north-1,0.93
aws,eu-north-1,aws,eu-south-1,1.218
aws,eu-north-1,aws,eu-west-2,2.156
aws,eu-north-1,aws,me-central-1,3.405
aws,eu-north-1,aws,me-south-1,3.943
aws,eu-north-1,aws,sa-east-1,5.148
aws,eu-north-1,aws,us-east-1,2.898
aws,eu-north-1,aws,us-west-1,4.242
aws,eu-south-1,aws,af-south-1,4.396
aws,eu-south-1,aws,ap-east-1,4.598
aws,eu-south-1,aws,ap-northeast-1,5.447
aws,eu-south-1,aws,ap-northeast-2,15.076
aws,eu-south-1,aws,ap-northeast-3,5.202
aws,eu-south-1,aws,ap-south-1,2.848
aws,eu-south-1,aws,ap-southeast-2,17.891
aws,eu-south-1,aws,ca-central-1,2.775
aws,eu-south-1,aws,eu-central-1,0.982
aws,eu-south-1,aws,eu-north-1,1.253
aws,eu-south-1,aws,eu-south-1,0.998
aws,eu-south-1,aws,eu-west-2,1.117
aws,eu-south-1,aws,me-central-1,2.752
aws,eu-south-1,aws,me-south-1,2.536
