src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,1.288
aws,af-south-1,aws,ap-east-1,3.716
aws,af-south-1,aws,ap-northeast-1,5.363
aws,af-south-1,aws,ap-northeast-2,6.183
aws,af-south-1,aws,ap-northeast-3,5.193
aws,af-south-1,aws,ap-south-1,2.543
aws,af-south-1,aws,ap-southeast-2,5.83
aws,af-south-1,aws,ca-central-1,3.359
aws,af-south-1,aws,eu-central-1,2.635
aws,af-south-1,aws,eu-north-1,2.797
aws,af-south-1,aws,eu-south-1,2.858
aws,af-south-1,aws,eu-west-2,2.434
aws,af-south-1,aws,me-central-1,2.225
aws,af-south-1,aws,me-south-1,2.306
aws,af-south-1,aws,sa-east-1,4.752
aws,af-south-1,aws,us-east-1,3.341
aws,af-south-1,aws,us-west-1,4.281
aws,ap-east-1,aws,af-south-1,3.769
aws,ap-east-1,aws,ap-east-1,0.56
aws,ap-east-1,aws,ap-northeast-1,1.167
aws,ap-east-1,aws,ap-northeast-2,0.976
aws,ap-east-1,aws,ap-northeast-3,1.142
aws,ap-east-1,aws,ap-south-1,1.602
aws,ap-east-1,aws,ap-southeast-2,7.044
aws,ap-east-1,aws,ca-central-1,2.877
aws,ap-east-1,aws,eu-central-1,2.99
aws,ap-east-1,aws,eu-north-1,3.501
aws,ap-east-1,aws,eu-south-1,3.02
aws,ap-east-1,aws,eu-west-2,3.262
aws,ap-east-1,aws,me-central-1,2.034
aws,ap-east-1,aws,me-south-1,2.098
aws,ap-east-1,aws,sa-east-1,4.601
aws,ap-east-1,aws,us-east-1,3.012
aws,ap-east-1,aws,us-west-1,2.497
aws,ap-northeast-1,aws,af-south-1,5.304
aws,ap-northeast-1,aws,ap-east-1,1.183
aws,ap-northeast-1,aws,ap-northeast-1,0.64
aws,ap-northeast-1,aws,ap-northeast-2,0.93
aws,ap-northeast-1,aws,ap-northeast-3,0.607
aws,ap-northeast-1,aws,ap-south-1,2.057
aws,ap-northeast-1,aws,ap-southeast-2,1.996
aws,ap-northeast-1,aws,ca-central-1,2.337
aws,ap-northeast-1,aws,eu-central-1,3.786
aws,ap-northeast-1,aws,eu-north-1,3.64
aws,ap-northeast-1,aws,eu-south-1,3.263
aws,ap-northeast-1,aws,eu-west-2,3.309
aws,ap-northeast-1,aws,me-central-1,2.393
aws,ap-northeast-1,aws,me-south-1,2.669
aws,ap-northeast-1,aws,sa-east-1,4.014
aws,ap-northeast-1,aws,us-east-1,2.373
aws,ap-northeast-1,aws,us-west-1,1.901
aws,ap-northeast-2,aws,af-south-1,5.526
aws,ap-northeast-2,aws,ap-east-1,0.958
aws,ap-northeast-2,aws,ap-northeast-1,0.959
aws,ap-northeast-2,aws,ap-northeast-2,0.578
aws,ap-northeast-2,aws,ap-northeast-3,0.858
aws,ap-northeast-2,aws,ap-south-1,2.048
aws,ap-northeast-2,aws,ap-southeast-2,2.332
aws,ap-northeast-2,aws,ca-central-1,2.763
aws,ap-northeast-2,aws,eu-central-1,3.624
aws,ap-northeast-2,aws,eu-north-1,3.69
aws,ap-northeast-2,aws,eu-south-1,3.264
aws,ap-northeast-2,aws,eu-west-2,3.803
aws,ap-northeast-2,aws,me-central-1,2.377
aws,ap-northeast-2,aws,me-south-1,2.609
aws,ap-northeast-2,aws,sa-east-1,4.241
aws,ap-northeast-2,aws,us-east-1,2.734
