src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,1.813
aws,af-south-1,aws,ap-east-1,15.268
aws,af-south-1,aws,ap-northeast-1,6.873
aws,af-south-1,aws,ap-northeast-2,17.478
aws,af-south-1,aws,ap-northeast-3,6.611
aws,af-south-1,aws,ap-south-1,2.851
aws,af-south-1,aws,ap-southeast-2,17.557
aws,af-south-1,aws,ca-central-1,4.135
aws,af-south-1,aws,eu-central-1,2.922
aws,af-south-1,aws,eu-north-1,3.166
aws,af-south-1,aws,eu-south-1,3.457
aws,af-south-1,aws,eu-west-2,2.768
aws,af-south-1,aws,me-central-1,2.691
aws,af-south-1,aws,me-south-1,2.795
aws,af-south-1,aws,sa-east-1,5.731
aws,af-south-1,aws,us-east-1,3.8
aws,af-south-1,aws,us-west-1,5.473
aws,ap-east-1,aws,af-south-1,4.786
aws,ap-east-1,aws,ap-east-1,0.683
aws,ap-east-1,aws,ap-northeast-1,1.359
aws,ap-east-1,aws,ap-northeast-2,1.113
aws,ap-east-1,aws,ap-northeast-3,1.361
aws,ap-east-1,aws,ap-south-1,1.871
aws,ap-east-1,aws,ap-southeast-2,2.487
aws,ap-east-1,aws,ca-central-1,3.515
aws,ap-east-1,aws,eu-central-1,3.603
aws,ap-east-1,aws,eu-north-1,4.311
aws,ap-east-1,aws,eu-south-1,3.444
aws,ap-east-1,aws,eu-west-2,3.768
aws,ap-east-1,aws,me-central-1,2.224
aws,ap-east-1,aws,me-south-1,2.503
aws,ap-east-1,aws,sa-east-1,5.434
aws,ap-east-1,aws,us-east-1,3.529
aws,ap-east-1,aws,us-west-1,2.979
aws,ap-northeast-1,aws,af-south-1,6.248
aws,ap-northeast-1,aws,ap-east-1,1.409
aws,ap-northeast-1,aws,ap-northeast-1,0.705
aws,ap-northeast-1,aws,ap-northeast-2,1.091
aws,ap-northeast-1,aws,ap-northeast-3,0.724
aws,ap-northeast-1,aws,ap-south-1,2.521
aws,ap-northeast-1,aws,ap-southeast-2,2.229
aws,ap-northeast-1,aws,ca-central-1,2.83
aws,ap-northeast-1,aws,eu-central-1,4.133
aws,ap-northeast-1,aws,eu-north-1,4.463
aws,ap-northeast-1,aws,eu-south-1,3.961
aws,ap-northeast-1,aws,eu-west-2,4.228
aws,ap-northeast-1,aws,me-central-1,3.064
aws,ap-northeast-1,aws,me-south-1,12.695
aws,ap-northeast-1,aws,sa-east-1,4.956
aws,ap-northeast-1,aws,us-east-1,2.964
aws,ap-northeast-1,aws,us-west-1,2.232
