src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,2.489
aws,af-south-1,aws,ap-east-1,13.769
aws,af-south-1,aws,ap-northeast-1,24.221
aws,af-south-1,aws,ap-northeast-2,20.933
aws,af-south-1,aws,ap-northeast-3,19.307
aws,af-south-1,aws,ap-south-1,9.315
aws,af-south-1,aws,ap-southeast-2,34.763
aws,af-south-1,aws,ca-central-1,12.607
aws,af-south-1,aws,eu-central-1,9.389
aws,af-south-1,aws,eu-north-1,9.864
aws,af-south-1,aws,eu-south-1,10.398
aws,af-south-1,aws,eu-west-2,8.513
aws,af-south-1,aws,me-central-1,7.981
aws,af-south-1,aws,me-south-1,8.317
aws,af-south-1,aws,sa-east-1,17.952
aws,af-south-1,aws,us-east-1,12.603
aws,af-south-1,aws,us-west-1,17.244
aws,ap-east-1,aws,af-south-1,14.135
aws,ap-east-1,aws,ap-east-1,2.455
aws,ap-east-1,aws,ap-northeast-1,3.805
aws,ap-east-1,aws,ap-northeast-2,2.892
aws,ap-east-1,aws,ap-northeast-3,3.91
aws,ap-east-1,aws,ap-south-1,5.719
aws,ap-east-1,aws,ap-southeast-2,7.79
aws,ap-east-1,aws,ca-central-1,10.749
aws,ap-east-1,aws,eu-central-1,11.153
aws,ap-east-1,aws,eu-north-1,12.575
aws,ap-east-1,aws,eu-south-1,12.447
aws,ap-east-1,aws,eu-west-2,11.727
aws,ap-east-1,aws,me-central-1,6.861
aws,ap-east-1,aws,me-south-1,7.681
aws,ap-east-1,aws,sa-east-1,17.686
aws,ap-east-1,aws,us-east-1,10.439
aws,ap-east-1,aws,us-west-1,9.173
aws,ap-northeast-1,aws,af-south-1,18.888
aws,ap-northeast-1,aws,ap-east-1,3.584
aws,ap-northeast-1,aws,ap-northeast-1,2.373
aws,ap-northeast-1,aws,ap-northeast-2,2.69
aws,ap-northeast-1,aws,ap-northeast-3,2.41
aws,ap-northeast-1,aws,ap-south-1,7.501
aws,ap-northeast-1,aws,ap-southeast-2,6.138
aws,ap-northeast-1,aws,ca-central-1,8.217
aws,ap-northeast-1,aws,eu-central-1,12.222
aws,ap-northeast-1,aws,eu-north-1,13.754
aws,ap-northeast-1,aws,eu-south-1,12.243
aws,ap-northeast-1,aws,eu-west-2,14.553
aws,ap-northeast-1,aws,me-central-1,8.579
aws,ap-northeast-1,aws,me-south-1,10.369
aws,ap-northeast-1,aws,sa-east-1,19.178
aws,ap-northeast-1,aws,us-east-1,8.438
aws,ap-northeast-1,aws,us-west-1,6.59
aws,ap-northeast-2,aws,af-south-1,21.553
aws,ap-northeast-2,aws,ap-east-1,2.895
aws,ap-northeast-2,aws,ap-northeast-1,3.996
aws,ap-northeast-2,aws,ap-northeast-2,2.409
aws,ap-northeast-2,aws,ap-northeast-3,2.499
aws,ap-northeast-2,aws,ap-south-1,7.159
aws,ap-northeast-2,aws,ap-southeast-2,8.657
aws,ap-northeast-2,aws,ca-central-1,9.756
aws,ap-northeast-2,aws,eu-central-1,12.517
